id	context	sentence	index	graph	variable_name	predicate	broad_aspect_1	broad_aspect_2	broad_aspect_3	broad_aspect_4	broad_aspect_5	adjudicated	second_choice_adjudicated	compare	alignment	flag	reason_for_flag					
lpp_1943.1		Chapter 1 .	1: Chapter 2: 1 3: .	(s1p / publication-91      :ARG1 (s1c / chapter                 :ord (s1o / ordinal-entity                           :value 1))      :ARG3 (s1t / thing))	s1p	publication-91	none	none				none		TRUE	s1p: 0-0; s1c: 1-1; s1o: 2-2; s1t: 0-0	FALSE						
lpp_1943.12	 But they answered : " Frighten ?	 Why should any one be frightened by a hat ? "	1: Why 2: should 3: any 4: one 5: be 6: frightened 7: by 8: a 9: hat 10: ? 11: "	(s12s / say-91       :ARG0 (s12p2 / person)       :ARG1 (s12f / frighten-01                   :ARG0 (s12h / hat)                   :ARG1 (s12p / person                               :mod (s12a / any)                               :refer-person 3rd                               :refer-number singular)                   :reason (s12u / umr-unknown)                   :quote s12s)       :ARG2 (s12p3 / person))	s12s	say-91	none	performance	performance			performance		FALSE	s12s: 0-0; s12p2: 0-0; s12f: 6-6; s12h: 9-9; s12a: 3-3; s12u: 1-1; s12s: 11-11; s12p3: 0-0	FALSE			266			
lpp_1943.12	 But they answered : " Frighten ?	 Why should any one be frightened by a hat ? "	1: Why 2: should 3: any 4: one 5: be 6: frightened 7: by 8: a 9: hat 10: ? 11: "	(s12s / say-91       :ARG0 (s12p2 / person)       :ARG1 (s12f / frighten-01                   :ARG0 (s12h / hat)                   :ARG1 (s12p / person                               :mod (s12a / any)                               :refer-person 3rd                               :refer-number singular)                   :reason (s12u / umr-unknown)                   :quote s12s)       :ARG2 (s12p3 / person))	s12f	frighten-01	state	state				state		TRUE	s12s: 0-0; s12p2: 0-0; s12f: 6-6; s12h: 9-9; s12a: 3-3; s12u: 1-1; s12s: 11-11; s12p3: 0-0	FALSE						
lpp_1943.21	Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .	So then I chose another profession , and learned to pilot airplanes .	1: So 2: then 3: I 4: chose 5: another 6: profession 7: , 8: and 9: learned 10: to 11: pilot 12: airplanes 13: .	(s21h / have-reason-91       :ARG1 (s21a / and                   :op1 (s21c / choose-01                              :ARG0 (s21i / i)                              :ARG1 (s21p / profession                                          :mod (s21a2 / another)))                   :op2 (s21l / learn-01                              :ARG0 s21i                              :ARG1 (s21p2 / pilot-01                                           :ARG0 s21i                                           :ARG1 (s21a3 / airplane)))))	s21h	have-reason-91	none	none				none		TRUE	s21h: 0-0; s21a: 8-8; s21c: 4-4; s21i: 3-3; s21p: 6-6; s21a2: 5-5; s21l: 9-9; s21p2: 11-11; s21a3: 12-12	FALSE						
lpp_1943.21	Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .	So then I chose another profession , and learned to pilot airplanes .	1: So 2: then 3: I 4: chose 5: another 6: profession 7: , 8: and 9: learned 10: to 11: pilot 12: airplanes 13: .	(s21h / have-reason-91       :ARG1 (s21a / and                   :op1 (s21c / choose-01                              :ARG0 (s21i / i)                              :ARG1 (s21p / profession                                          :mod (s21a2 / another)))                   :op2 (s21l / learn-01                              :ARG0 s21i                              :ARG1 (s21p2 / pilot-01                                           :ARG0 s21i                                           :ARG1 (s21a3 / airplane)))))	s21c	choose-01	performance	performance				performance		TRUE	s21h: 0-0; s21a: 8-8; s21c: 4-4; s21i: 3-3; s21p: 6-6; s21a2: 5-5; s21l: 9-9; s21p2: 11-11; s21a3: 12-12	FALSE						
lpp_1943.21	Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .	So then I chose another profession , and learned to pilot airplanes .	1: So 2: then 3: I 4: chose 5: another 6: profession 7: , 8: and 9: learned 10: to 11: pilot 12: airplanes 13: .	(s21h / have-reason-91       :ARG1 (s21a / and                   :op1 (s21c / choose-01                              :ARG0 (s21i / i)                              :ARG1 (s21p / profession                                          :mod (s21a2 / another)))                   :op2 (s21l / learn-01                              :ARG0 s21i                              :ARG1 (s21p2 / pilot-01                                           :ARG0 s21i                                           :ARG1 (s21a3 / airplane)))))	s21l	learn-01	performance	performance				performance		TRUE	s21h: 0-0; s21a: 8-8; s21c: 4-4; s21i: 3-3; s21p: 6-6; s21a2: 5-5; s21l: 9-9; s21p2: 11-11; s21a3: 12-12	FALSE						
lpp_1943.21	Grown - ups never understand anything by themselves , and it is tiresome for children to be always and forever explaining things to them .	So then I chose another profession , and learned to pilot airplanes .	1: So 2: then 3: I 4: chose 5: another 6: profession 7: , 8: and 9: learned 10: to 11: pilot 12: airplanes 13: .	(s21h / have-reason-91       :ARG1 (s21a / and                   :op1 (s21c / choose-01                              :ARG0 (s21i / i)                              :ARG1 (s21p / profession                                          :mod (s21a2 / another)))                   :op2 (s21l / learn-01                              :ARG0 s21i                              :ARG1 (s21p2 / pilot-01                                           :ARG0 s21i                                           :ARG1 (s21a3 / airplane)))))	s21p2	pilot-01	habitual	habitual				habitual		TRUE	s21h: 0-0; s21a: 8-8; s21c: 4-4; s21i: 3-3; s21p: 6-6; s21a2: 5-5; s21l: 9-9; s21p2: 11-11; s21a3: 12-12	FALSE						
lpp_1943.22	So then I chose another profession , and learned to pilot airplanes .	I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .	1: I 2: have 3: flown 4: a 5: little 6: over 7: all 8: parts 9: of 10: the 11: world 12: ; 13: and 14: it 15: is 16: true 17: that 18: geography 19: has 20: been 21: very 22: useful 23: to 24: me 25: .	(s22a / and       :op1 (s22f / fly-01                  :ARG0 (s22i / i)                  :place (s22o / over                               :op1 (s22p2 / part                                           :part-of (s22w / world))))       :op2 (s22u / useful-05                  :ARG0 s22i                  :ARG1 (s22g / geography)                  :degree intensifier))	s22f	fly-01	performance	performance				performance		TRUE	s22a: 13-13; s22f: 3-3; s22i: 1-1; s22o: 6-6; s22p2: 8-8; s22w: 11-11; s22u: 22-22; s22g: 18-18	FALSE						
lpp_1943.22	So then I chose another profession , and learned to pilot airplanes .	I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .	1: I 2: have 3: flown 4: a 5: little 6: over 7: all 8: parts 9: of 10: the 11: world 12: ; 13: and 14: it 15: is 16: true 17: that 18: geography 19: has 20: been 21: very 22: useful 23: to 24: me 25: .	(s22a / and       :op1 (s22f / fly-01                  :ARG0 (s22i / i)                  :place (s22o / over                               :op1 (s22p2 / part                                           :part-of (s22w / world))))       :op2 (s22u / useful-05                  :ARG0 s22i                  :ARG1 (s22g / geography)                  :degree intensifier))	s22u	useful-05	state	state				state		TRUE	s22a: 13-13; s22f: 3-3; s22i: 1-1; s22o: 6-6; s22p2: 8-8; s22w: 11-11; s22u: 22-22; s22g: 18-18	FALSE						
lpp_1943.23	I have flown a little over all parts of the world ; and it is true that geography has been very useful to me .	At a glance I can distinguish China from Arizona .	1: At 2: a 3: glance 4: I 5: can 6: distinguish 7: China 8: from 9: Arizona 10: .	(s23p / possible-01       :ARG1 (s23d / distinguish-01                   :ARG0 (s23i / i)                   :ARG1 (s23c / country                               :name (s23n / name                                           :op1 "China")                               :wiki "China")                   :ARG2 (s23s / state                               :name (s23n2 / name                                            :op1 "Arizona")                               :wiki "Arizona")                   :manner (s23g / glance-01                                 :ARG0 s23i)))	s23p	possible-01	state	state				state		TRUE	s23p: 5-5; s23d: 6-6; s23i: 4-4; s23c: 7-7; s23n: 0-0; s23s: 9-9; s23n2: 0-0; s23g: 3-3	FALSE						
